Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Exit_Price,Exit_Time,Capital_Acumulado,PnL_USD
EW3_S_1225,SHORT,2024-12-25 04:45:00,371.38,383.07585,340.70382,CLOSED,-0.31492945231299496,383.07585,2024-12-25 07:30:00,42.55580165700381,-19.563058656995125
EW3_L_1227,LONG,2024-12-27 12:45:00,338.61,331.0166,365.31506,CLOSED,-0.2242520894244125,331.0166,2024-12-27 14:30:00,33.01257421828983,-9.54322743871398
EW3_L_1230,LONG,2024-12-30 05:00:00,337.88,324.6884,396.12051999999994,CLOSED,-0.39042263525511994,324.6884,2024-12-30 21:30:00,20.12371799542988,-12.888856222859946
EW3_S_0106,SHORT,2025-01-06 12:30:00,342.77,350.91585,307.55503999999996,CLOSED,-0.23764769378883788,350.91585,2025-01-06 16:00:00,15.341362823359034,-4.782355172070847
EW3_S_0110,SHORT,2025-01-10 00:15:00,283.24,293.79164999999995,249.79277999999994,CLOSED,-0.3725338935178625,293.79164999999995,2025-01-10 06:45:00,9.626185198902906,-5.715177624456128
EW3_L_0111,LONG,2025-01-11 13:45:00,284.26,275.62495,321.8286,CLOSED,-0.3037729543375775,275.62495,2025-01-13 06:15:00,6.702010482031509,-2.9241747168713967
EW3_S_0116,SHORT,2025-01-16 17:30:00,317.94,322.17285,290.03834,CLOSED,-0.1331336101151156,322.17285,2025-01-17 01:45:00,5.809747631529309,-0.8922628505022009
EW3_L_0123,LONG,2025-01-23 17:15:00,335.41,328.4495,425.98268,CLOSED,-0.2075221370859552,328.4495,2025-01-23 21:15:00,4.6040963871042795,-1.2056512444250287
EW3_L_0125,LONG,2025-01-25 16:45:00,331.42,327.0366,382.44614,CLOSED,-0.1322611791684266,327.0366,2025-01-25 23:30:00,3.9951531699407745,-0.6089432171635047
EW3_S_0126,SHORT,2025-01-26 13:15:00,326.41,337.8408,314.78621999999996,CLOSED,0.356109800557583,314.78621999999996,2025-01-27 00:45:00,5.417866368485379,1.4227131985446047
EW3_S_0129,SHORT,2025-01-29 17:30:00,292.49,302.505,251.71572000000003,CLOSED,-0.3424048685425138,302.505,2025-01-30 04:45:00,3.5627625468032367,-1.8551038216821427
EW3_S_0209,SHORT,2025-02-09 16:15:00,246.23,253.86299999999997,202.24784,CLOSED,-0.30999472038338066,253.86299999999997,2025-02-10 13:45:00,2.458324967314586,-1.1044375794886505
EW3_L_0212,LONG,2025-02-12 16:15:00,238.12,230.41215,284.78601999999995,CLOSED,-0.32369603561229665,230.41215,2025-02-24 14:45:00,1.6625749211481258,-0.7957500461664602
EW3_S_0313,SHORT,2025-03-13 09:15:00,172.25,177.10109999999997,147.98589999999996,CLOSED,-0.28163134978229165,177.10109999999997,2025-03-19 11:00:00,1.194341701990992,-0.4682332191571338
EW3_S_0320,SHORT,2025-03-20 20:30:00,175.46,180.17639999999997,159.97726,CLOSED,-0.268802006155247,180.17639999999997,2025-03-21 00:00:00,0.8733002564609412,-0.3210414455300509
EW3_L_0321,LONG,2025-03-21 22:45:00,177.91,173.02055,192.8206,CLOSED,0.8380979146759606,192.8206,2025-03-24 08:15:00,1.6052113802868377,0.7319111238258964
EW3_L_0327,LONG,2025-03-27 18:30:00,184.7,178.7219,197.40182,CLOSED,-0.32366540335679395,178.7219,2025-03-28 05:00:00,1.0856599914133824,-0.5195513888734553
EW3_S_0408,SHORT,2025-04-08 12:00:00,133.8,136.8609,69.14626000000001,CLOSED,-0.22876681614349587,136.8609,2025-04-09 17:30:00,0.8372970117633679,-0.24836297965001455
EW3_S_0412,SHORT,2025-04-12 05:45:00,135.83,140.0568,111.95108000000002,CLOSED,-0.3111830965177057,140.0568,2025-04-12 12:00:00,0.5767443349378212,-0.26055267682554667
EW3_S_0413,SHORT,2025-04-13 19:00:00,143.09,146.90084999999996,129.40752,CLOSED,-0.26632538961492486,146.90084999999996,2025-04-22 07:45:00,0.4231426752273052,-0.15360165971051595
EW3_S_0425,SHORT,2025-04-25 06:30:00,166.95,170.86004999999997,149.94680000000002,CLOSED,-0.23420485175202063,170.86004999999997,2025-04-26 01:30:00,0.3240406077057408,-0.09910206752156443
EW3_L_0426,LONG,2025-04-26 04:30:00,168.2,161.97605,181.78531999999996,CLOSED,-0.37003269916765774,161.97605,2025-04-30 12:30:00,0.2041349869964574,-0.11990562070928337
EW3_L_0505,LONG,2025-05-05 21:00:00,177.58,172.4534,191.40924,CLOSED,-0.28869242031760467,172.4534,2025-05-06 02:15:00,0.14520276352894737,-0.05893222346751004
EW3_S_0507,SHORT,2025-05-07 10:00:00,174.03,180.85979999999998,150.94926000000004,CLOSED,-0.39244957765902305,180.85979999999998,2025-05-08 03:30:00,0.08821800030708898,-0.056984763221858394
EW3_S_0512,SHORT,2025-05-12 09:00:00,224.12,230.7078,202.6203,CLOSED,-0.2939407460289125,230.7078,2025-05-13 18:45:00,0.06228713548364441,-0.02593086482344457
EW3_L_0515,LONG,2025-05-15 02:00:00,228.01,222.6611,270.47548,CLOSED,-0.23459058813209888,222.6611,2025-05-15 07:45:00,0.04767515973747254,-0.014611975746171867
EW3_S_0515,SHORT,2025-05-15 09:00:00,228.62,234.02429999999998,208.00752000000003,CLOSED,-0.2363878925728273,234.02429999999998,2025-05-16 05:15:00,0.036405329199058506,-0.01126983053841404
EW3_S_0521,SHORT,2025-05-21 17:00:00,255.18,261.79245,228.51831999999996,CLOSED,-0.25912885022337045,261.79245,2025-05-23 02:15:00,0.02697165810170318,-0.009433671097355326
EW3_L_0525,LONG,2025-05-25 09:30:00,264.24,254.94885000000002,317.32568000000003,CLOSED,-0.35161784741144364,254.94885000000002,2025-05-29 14:00:00,0.017487941738864886,-0.009483716362838296
EW3_L_0531,LONG,2025-05-31 23:00:00,250.36,240.79,268.59992,CLOSED,-0.3822495606326898,240.79,2025-06-01 01:30:00,0.010803183692813707,-0.006684758046051179
EW3_S_0608,SHORT,2025-06-08 13:45:00,252.77,261.74219999999997,216.46275999999997,CLOSED,-0.3549550975194825,261.74219999999997,2025-06-09 15:15:00,0.006968538571610134,-0.0038346451212035726
EW3_S_0612,SHORT,2025-06-12 19:00:00,300.98,310.62539999999996,255.05498,CLOSED,1.5258495581101739,255.05498,2025-06-19 14:00:00,0.017601480071775158,0.010632941500165026
EW3_S_0620,SHORT,2025-06-20 14:00:00,260.75,265.66169999999994,235.79847999999996,CLOSED,0.9569135186960708,235.79847999999996,2025-06-21 21:30:00,0.03444457430151629,0.016843094229741135
EW3_L_0629,LONG,2025-06-29 02:30:00,258.53,251.6554,282.09254,CLOSED,0.9114044791706964,282.09254,2025-06-30 19:45:00,0.0658375136030461,0.03139293930152981
EW3_S_0703,SHORT,2025-07-03 06:45:00,280.3,284.82705,238.4296,CLOSED,-0.16150731359257844,284.82705,2025-07-06 21:30:00,0.05520427364740328,-0.010633239955642816
EW3_L_0708,LONG,2025-07-08 15:45:00,285.34,275.92345,312.93836,CLOSED,0.9672096446344718,312.93836,2025-07-10 21:30:00,0.10859837954421234,0.05339410589680906
EW3_L_0711,LONG,2025-07-11 13:00:00,313.16,301.23625,341.25840000000005,CLOSED,-0.38075584365819515,301.23625,2025-07-11 21:30:00,0.06724891192094289,-0.04134946762326945
EW3_S_0712,SHORT,2025-07-12 17:15:00,301.09,308.32394999999997,265.40156,CLOSED,-0.24025872662658984,308.32394999999997,2025-07-13 13:45:00,0.05109177397579345,-0.016157137945149436
EW3_L_0715,LONG,2025-07-15 10:00:00,312.72,303.9924,351.68154000000004,CLOSED,-0.27908672294704695,303.9924,2025-07-22 19:30:00,0.03683273820733804,-0.01425903576845541
EW3_S_0724,SHORT,2025-07-24 09:30:00,287.78,295.1886,245.53596000000007,CLOSED,-0.25743971089026463,295.1886,2025-07-26 01:00:00,0.02735052873194413,-0.009482209475393908
EW3_S_0802,SHORT,2025-08-02 22:15:00,248.93,257.57144999999997,235.35307999999998,CLOSED,-0.347143775358533,257.57144999999997,2025-08-03 10:45:00,0.017855962929885012,-0.009494565802059115
EW3_L_0805,LONG,2025-08-05 10:00:00,260.39,254.86924999999997,298.57395999999994,CLOSED,-0.21201851069549604,254.86924999999997,2025-08-05 14:30:00,0.014070168262456806,-0.0037857946674282063
EW3_S_0805,SHORT,2025-08-05 23:45:00,255.25,264.96824999999995,239.57415999999998,CLOSED,-0.38073457394710897,264.96824999999995,2025-08-07 01:15:00,0.008713168743686179,-0.005356999518770627
EW3_S_0817,SHORT,2025-08-17 22:45:00,304.8,312.1429499999999,265.98174,CLOSED,-0.24091043307086338,312.1429499999999,2025-08-22 14:00:00,0.006614075488225232,-0.0020990932554609478
EW3_L_0828,LONG,2025-08-28 08:30:00,324.2,317.12640000000005,365.2698600000001,CLOSED,-0.21818630475015244,317.12640000000005,2025-08-28 13:45:00,0.005170974798110808,-0.0014431006901144236
EW3_S_0828,SHORT,2025-08-28 22:45:00,317.72,330.3837,296.07258,CLOSED,0.6813363968273954,296.07258,2025-09-09 15:30:00,0.008694148135140896,0.0035231733370300867
EW3_S_0910,SHORT,2025-09-10 23:00:00,299.87,307.9722,281.70077999999995,CLOSED,-0.27019041584686637,307.9722,2025-09-11 06:30:00,0.00634507263507292,-0.002349075500067976
EW3_L_0911,LONG,2025-09-11 09:30:00,304.18,295.96274999999997,316.52622,CLOSED,0.4058853310539817,316.52622,2025-09-12 17:30:00,0.008920444542121053,0.0025753719070481323
EW3_L_0912,LONG,2025-09-12 22:00:00,319.08,306.92765,333.6946200000001,CLOSED,-0.3808558982073448,306.92765,2025-09-14 12:30:00,0.005523040623622733,-0.0033974039184983197
EW3_L_0920,LONG,2025-09-20 19:00:00,296.58,293.06730000000005,330.63758,CLOSED,-0.118440218490793,293.06730000000005,2025-09-22 00:15:00,0.004868890485427331,-0.0006541501381954022
EW3_L_0925,LONG,2025-09-25 00:30:00,277.06,266.8192,296.15139999999997,CLOSED,-0.3696239081787331,266.8192,2025-09-25 04:45:00,0.003069232155709432,-0.001799658329717899
EW3_S_0926,SHORT,2025-09-26 14:00:00,263.28,268.61639999999994,225.90773999999993,CLOSED,-0.2026891522333626,268.61639999999994,2025-09-26 17:00:00,0.0024471320920613116,-0.0006221000636481207
EW3_L_0928,LONG,2025-09-28 13:00:00,262.7,259.5557,287.41137999999995,CLOSED,0.9406692044156819,287.41137999999995,2025-10-01 19:15:00,0.004749073890200709,0.002301941798139397
EW3_L_1002,LONG,2025-10-02 23:00:00,287.84,277.13734999999997,309.98391999999996,CLOSED,-0.3718263618677045,277.13734999999997,2025-10-07 18:45:00,0.002983243023366473,-0.0017658308668342358
EW3_L_1029,LONG,2025-10-29 17:00:00,227.92,224.6909,238.79636000000002,CLOSED,-0.14167690417690368,224.6909,2025-10-29 18:30:00,0.0025605863874085645,-0.0004226566359579082
EW3_L_1031,LONG,2025-10-31 19:15:00,217.73,211.13899999999998,234.41513999999998,CLOSED,0.7663225095301517,234.41513999999998,2025-10-31 20:15:00,0.004522821373676241,0.0019622349862676762
EW3_S_1112,SHORT,2025-11-12 14:00:00,218.09,220.50704999999996,178.44224,CLOSED,1.8179540556650924,178.44224,2025-11-14 12:30:00,0.012745102832999728,0.008222281459323487
EW3_L_1116,LONG,2025-11-16 09:15:00,179.94,174.3439,191.36764000000002,CLOSED,-0.3109981104812719,174.3439,2025-11-16 15:45:00,0.008781399934047307,-0.003963702898952421
EW3_S_1119,SHORT,2025-11-19 08:30:00,175.09,180.68894999999998,150.94106000000002,CLOSED,1.379230110229024,150.94106000000002,2025-11-21 12:15:00,0.02089297113304852,0.012111571199001213
EW3_L_1126,LONG,2025-11-26 02:45:00,178.79,173.08024999999998,196.05187999999998,CLOSED,-0.31935510934616107,173.08024999999998,2025-12-01 00:15:00,0.014220694052287623,-0.006672277080760897
EW3_S_1202,SHORT,2025-12-02 11:00:00,170.05,174.1062,126.93284,CLOSED,-0.23852984416348072,174.1062,2025-12-02 14:30:00,0.010828634116098919,-0.003392059936188704
EW3_L_1205,LONG,2025-12-05 06:15:00,191.0,186.35354999999998,241.29883999999998,CLOSED,-0.24326963350785422,186.35354999999998,2025-12-05 16:15:00,0.008194356263284889,-0.0026342778528140307
EW3_S_1207,SHORT,2025-12-07 01:00:00,188.46,192.37709999999996,172.34378,CLOSED,-0.20784781916586798,192.37709999999996,2025-12-07 18:15:00,0.006491177184492953,-0.0017031790787919352
EW3_S_1214,SHORT,2025-12-14 00:15:00,197.28,203.62305,174.06848,CLOSED,1.176577453365775,174.06848,2025-12-18 17:15:00,0.014128549905569693,0.007637372721076739
