ts,clase,pnl,motivo
2024-01-07 21:59:00,SHORT_PARTIAL,1.4666265002212413,Rebalanceo Suelo
2024-01-07 22:06:00,SHORT_PARTIAL,1.8833225614374245,Rebalanceo Suelo
2024-01-07 22:08:00,SHORT_PARTIAL,2.09675225132865,Rebalanceo Suelo
2024-01-07 22:09:00,SHORT_PARTIAL,2.0154457027986643,Rebalanceo Suelo
2024-01-07 22:10:00,SHORT_PARTIAL,1.9849557470999177,Rebalanceo Suelo
2024-01-07 22:12:00,SHORT_PARTIAL,2.035772339931157,Rebalanceo Suelo
2024-01-07 22:14:00,SHORT_PARTIAL,2.09675225132865,Rebalanceo Suelo
2024-01-07 22:16:00,LONG_PARTIAL,-2.2958572537034665,OLA BAJISTA (SL Long)
2024-01-07 22:19:00,SHORT_PARTIAL,2.8183478695322837,Rebalanceo Suelo
2024-01-07 22:20:00,SHORT_PARTIAL,2.6455714539060584,Rebalanceo Suelo
2024-01-07 22:23:00,SHORT_PARTIAL,2.838674506664791,Rebalanceo Suelo
2024-01-07 22:24:00,SHORT_PARTIAL,2.798021232399791,Rebalanceo Suelo
2024-01-07 22:25:00,SHORT_PARTIAL,2.676061409604805,Rebalanceo Suelo
2024-01-07 22:26:00,SHORT_PARTIAL,2.4626317197135936,Rebalanceo Suelo
2024-01-07 22:32:00,SHORT_PARTIAL,3.5501068063021717,Rebalanceo Suelo
2024-01-07 22:33:00,SHORT_PARTIAL,3.529780169169679,Rebalanceo Suelo
2024-01-07 22:37:00,SHORT_PARTIAL,3.6619033105309033,Rebalanceo Suelo
2024-01-07 22:38:00,SHORT_PARTIAL,3.346840434977214,Rebalanceo Suelo
2024-01-07 22:41:00,SHORT_PARTIAL,3.3874937092421993,Rebalanceo Suelo
2024-01-07 22:43:00,SHORT_PARTIAL,3.29602384214596,Rebalanceo Suelo
2024-01-07 22:44:00,SHORT_PARTIAL,3.2756972050134667,Rebalanceo Suelo
2024-01-07 22:47:00,SHORT_PARTIAL,3.4078203463746926,Rebalanceo Suelo
2024-01-07 22:50:00,SHORT_PARTIAL,3.3163504792784675,Rebalanceo Suelo
